year,week,matchup_type,home_team_id,home_team,home_owner_ids,home_owner_names,home_score,home_projected,away_team_id,away_team,away_owner_ids,away_owner_names,away_score,away_projected,is_bye,winner,score_difference,home_starters_ids,home_bench_ids,away_starters_ids,away_bench_ids
2014,5,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,110.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,82.0,,False,HOME,28.0,,,,
2014,6,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,68.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,83.0,,False,AWAY,-15.0,,,,
2014,6,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,98.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,103.0,,False,AWAY,-5.0,,,,
2014,6,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,104.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,102.0,,False,HOME,2.0,,,,
2014,6,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,95.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,71.0,,False,HOME,24.0,,,,
2014,6,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,60.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,117.0,,False,AWAY,-57.0,,,,
2014,7,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,71.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,133.0,,False,AWAY,-62.0,,,,
2014,7,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,66.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,94.0,,False,AWAY,-28.0,,,,
2014,7,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,74.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,75.0,,False,AWAY,-1.0,,,,
2014,7,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,87.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,69.0,,False,HOME,18.0,,,,
2014,7,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,67.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,64.0,,False,HOME,3.0,,,,
2014,8,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,81.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,129.0,,False,AWAY,-48.0,,,,
2014,8,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,79.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,74.0,,False,HOME,5.0,,,,
2014,8,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,148.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,88.0,,False,HOME,60.0,,,,
2014,8,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,83.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,100.0,,False,AWAY,-17.0,,,,
2014,8,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,93.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,79.0,,False,HOME,14.0,,,,
2014,9,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,100.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,71.0,,False,HOME,29.0,,,,
2014,9,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,90.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,73.0,,False,HOME,17.0,,,,
2014,9,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,58.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,56.0,,False,HOME,2.0,,,,
2014,9,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,146.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,60.0,,False,HOME,86.0,,,,
